기준월,산업20_수출_USD,기타수출_USD,한국전체수출_USD,산업20_Coverage_%,기타_Coverage_%,Coverage합계_%
2025-01-01,42125940658.0,7022497435.0,49176984042,85.66190358892689,14.280049034732139,99.94195262365903
2025-02-01,44729009115.0,7531706511.0,52292301495,85.53650888606772,14.403088591769391,99.93959747783711
2025-03-01,50190539591.0,7852964380.0,58064561820,86.4391946099422,13.52453912309572,99.96373373303793
2025-04-01,49111732802.0,8892380028.0,58035745123,84.62324847887007,15.322246675998793,99.94549515486887
2025-05-01,49239587442.0,7988371263.0,57261062502,85.99139675460995,13.950791190297917,99.94218794490787
2025-06-01,51175668707.0,8629296273.0,59833796879,85.52970290434843,14.422110451139769,99.9518133554882
2025-07-01,52011846720.0,8679938640.0,60724322143,85.652412220456,14.29400664129205,99.94641886174804
2025-08-01,50653587500.0,7583541861.0,58259331990,86.94501939825624,13.01687060589999,99.96189000415623
2025-09-01,56734879506.0,9135962257.0,65904118036,86.08700214303555,13.862505908977491,99.94950805201304
2025-10-01,52064913170.0,7426573462.0,59511577956,87.48703186545363,12.47920777279818,99.9662396382518
2025-11-01,52715614880.0,8014802400.0,60752618324,86.77093487372375,13.192521772899118,99.96345664662286
2025-12-01,60801176558.0,8686967192.0,69513624492,87.46656069559043,12.496783552121848,99.96334424771229
2026-01-01,57478824056.0,8340234938.0,65843936782,87.29554590015522,12.666671140295488,99.96221704045071
2026-02-01,59585702737.0,8026464118.0,67642546892,88.08908811806897,11.865999266431052,99.95508738450002
2026-03-01,77288004538.0,10008460367.0,87333127845,88.49792334836762,11.46009608720662,99.95801943557424
2026-04-01,75881777291.0,9835549133.0,85751882817,88.48992558325112,11.46977630099352,99.95970188424464
2026-05-01,78306314341.0,9245165184.0,87576083100,89.41518228394027,10.556723772908724,99.971906056849
2026-06-01,91013923047.0,10906895379.0,101956159193,89.26770463637546,10.69763265439763,99.96533729077308
2026-07-01,88074164811.0,10846525320.0,98959098818,89.00057282552768,10.960614485736494,99.96118731126418
