기준월,산업20,수출액_USD,HSK10_활성수,MTI6_활성수,수출액_십억달러,YoY_%,MoM_%,3M_YoY_%,Momentum_Gap_pp
2025-01-01,가전,557000548.0,178,47,0.557000548,,,,
2025-02-01,가전,634430732.0,176,46,0.634430732,,13.901276089947402,,
2025-03-01,가전,638865165.0,179,47,0.638865165,,0.6989625149495415,,
2025-04-01,가전,705418731.0,176,46,0.705418731,,10.417466727897118,,
2025-05-01,가전,611806775.0,178,47,0.611806775,,-13.270409741926748,,
2025-06-01,가전,553550111.0,178,47,0.553550111,,-9.522069120597754,,
2025-07-01,가전,636752290.0,178,47,0.63675229,,15.030649862881162,,
2025-08-01,가전,530339896.0,177,46,0.530339896,,-16.71174107595279,,
2025-09-01,가전,686243701.0,180,47,0.686243701,,29.396959605694086,,
2025-10-01,가전,551573962.0,179,47,0.551573962,,-19.624185810923745,,
2025-11-01,가전,559759034.0,179,47,0.559759034,,1.4839482216167488,,
2025-12-01,가전,602867166.0,180,47,0.602867166,,7.701194510779441,,
2026-01-01,가전,555111188.0,180,47,0.555111188,-0.3392025388097131,-7.921476022132545,-0.3392025388097131,0.0
2026-02-01,가전,508271331.0,178,47,0.508271331,-19.885449212444517,-8.437923430936145,-10.112325875627114,-9.773123336817402
2026-03-01,가전,587912748.0,178,47,0.587912748,-7.97545707473345,15.669075185356075,-9.400036275329226,1.424579200595776
2026-04-01,가전,565588955.0,177,46,0.565588955,-19.82223746763537,-3.797126882508084,-15.894381251604448,-3.927856216030923
2026-05-01,가전,478389323.0,177,46,0.478389323,-21.80712235492979,-15.417492019447232,-16.534938965766205,-5.272183389163583
2026-06-01,가전,553835260.0,178,47,0.55383526,0.05151277081036909,15.770823756449094,-13.859282350584932,13.910795121395301
2026-07-01,가전,610412592.0,178,46,0.610412592,-4.13656902592372,10.215552545354377,-8.630726203347713,4.494157177423993
2025-01-01,농수산식품,851233982.0,1763,255,0.851233982,,,,
2025-02-01,농수산식품,1016498764.0,1791,255,1.016498764,,19.414730320293994,,
2025-03-01,농수산식품,1026373610.0,1815,258,1.02637361,,0.9714567641126992,,
2025-04-01,농수산식품,1119066749.0,1800,258,1.119066749,,9.031130389254649,,
2025-05-01,농수산식품,1024687219.0,1799,257,1.024687219,,-8.433771272744695,,
2025-06-01,농수산식품,1002047542.0,1816,259,1.002047542,,-2.209423185944903,,
2025-07-01,농수산식품,1068000345.0,1790,257,1.068000345,,6.581803780324025,,
2025-08-01,농수산식품,961433787.0,1775,256,0.961433787,,-9.978138911556256,,
2025-09-01,농수산식품,1160245568.0,1810,257,1.160245568,,20.678676336137535,,
2025-10-01,농수산식품,989691988.0,1787,257,0.989691988,,-14.699782934227933,,
