산업20,HSK10_수,MTI6_수
가전,181,47
농수산식품,2461,270
디스플레이,42,3
무선통신기기,64,17
바이오헬스,557,11
반도체,57,14
비철금속,304,68
생활용품,609,102
석유제품,141,12
석유화학,303,46
선박류,74,15
섬유류,1264,143
이차전지,10,4
일반기계,1151,122
자동차,169,26
자동차부품,62,3
전기기기,256,63
철강제품,353,43
컴퓨터,76,21
화장품,34,8
