품목,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,증감액_bn
반도체,1-7월,72731087757,181716256031,72.731087757,181.716256031,149.8467459171346,108.985168274
승용차,1-7월,40415403999,39962100672,40.415403999,39.962100672,-1.121610282582397,-0.453303327
자동차부품,1-7월,10662983566,10097299423,10.662983566,10.097299423,-5.305120649381301,-0.565684143
선박,1-7월,14250744256,17680529051,14.250744256,17.680529051,24.067408223650876,3.429784795
