국가코드,국가,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_전체수출대비_비중_%
AG,안티가 바부다,1-7월,2529047,1181206,0.002529047,0.001181206,-53.29442276082651,-0.001347841,0.0001985010539454544
VG,영령 버진군도,1-7월,1854291,1123342,0.001854291,0.001123342,-39.4193252299666,-0.000730949,0.00018877703884097663
CV,카보 베르데,1-7월,1995034,1083266,0.001995034,0.001083266,-45.701877762484244,-0.000911768,0.00018204228788481992
GI,지브랄타,1-7월,1638266,976870,0.001638266,0.00097687,-40.37171008859367,-0.000661396,0.00016416249542221766
KN,세인트 키츠 네비스,1-7월,548454,765152,0.000548454,0.000765152,39.51069734198309,0.000216698,0.00012858339563841728
VC,세인트 빈센트 그레나딘,1-7월,1134936,608964,0.001134936,0.000608964,-46.34375859079278,-0.000525972,0.00010233608347302647
BW,보츠와나,1-7월,903950,510569,0.00090395,0.000510569,-43.51800431439792,-0.000393381,8.580085489904107e-05
AN,네덜란드 열도,1-7월,283474,346143,0.000283474,0.000346143,22.10749486725414,6.2669e-05,5.816915111829894e-05
FO,파로에 군도,1-7월,6716,314998,6.716e-06,0.000314998,4590.262060750447,0.000308282,5.293525006705878e-05
VI,미령 버진군도,1-7월,61722,289942,6.1722e-05,0.000289942,369.75470658760247,0.00022822,4.872460229888177e-05
SZ,스와질랜드,1-7월,800538,283588,0.000800538,0.000283588,-64.57532309521848,-0.00051695,4.765681590364722e-05
GW,기네비소,1-7월,878599,255652,0.000878599,0.000255652,-70.90231152095552,-0.000622947,4.296218563338089e-05
TO,통가,1-7월,149944,223244,0.000149944,0.000223244,48.884917035693334,7.33e-05,3.751603808903698e-05
BQ,보네르 신트외스타티위스,1-7월,14720,223095,1.472e-05,0.000223095,1415.5910326086957,0.000208375,3.749099871653306e-05
AD,안도라,1-7월,48911,184063,4.8911e-05,0.000184063,276.32229968718696,0.000135152,3.0931691417383734e-05
ST,상토메 프린스페,1-7월,58707,160419,5.8707e-05,0.000160419,173.25361541213144,0.000101712,2.6958329514814396e-05
SM,산마리노,1-7월,114714,130615,0.000114714,0.000130615,13.861429293721784,1.5901e-05,2.1949782816109575e-05
BL,세인트 바르탤르미,1-7월,41964,130361,4.1964e-05,0.000130361,210.64960442283862,8.8397e-05,2.1907098248216975e-05
AI,앙귈라,1-7월,269680,106991,0.00026968,0.000106991,-60.326683476713136,-0.000162689,1.7979781903138073e-05
KM,코모로스,1-7월,171802,106565,0.000171802,0.000106565,-37.972200556454524,-6.5237e-05,1.790819282470403e-05
AQ,안타티카,1-7월,0,88902,0.0,8.8902e-05,,8.8902e-05,1.4939934861369472e-05
CF,중앙아프리카공화국,1-7월,835969,83436,0.000835969,8.3436e-05,-90.01924712519245,-0.000752533,1.402137640427913e-05
GL,그린랜드,1-7월,102107,49303,0.000102107,4.9303e-05,-51.71437805439392,-5.2804e-05,8.285343507121313e-06
CK,쿡 아일랜드,1-7월,0,20463,0.0,2.0463e-05,,2.0463e-05,3.4387965070325017e-06
VA,교황청,1-7월,9609,14966,9.609e-06,1.4966e-05,55.74981787907169,5.357e-06,2.5150285160655046e-06
GG,건지,1-7월,10393,13528,1.0393e-05,1.3528e-05,30.164533820840944,3.135e-06,2.2733733639806327e-06
LS,레소토,1-7월,24302,9761,2.4302e-05,9.761e-06,-59.834581515924626,-1.4541e-05,1.6403309732270072e-06
FK,포클랜드 군도,1-7월,485,9097,4.85e-07,9.097e-06,1775.6701030927836,8.612e-06,1.5287461185786377e-06
NR,나우루,1-7월,62368,8328,6.2368e-05,8.328e-06,-86.6469984607491,-5.404e-05,1.3995160685415958e-06
GS,남조지아 & 남샌드위치 군도,1-7월,10981,8108,1.0981e-05,8.108e-06,-26.16337309898916,-2.873e-06,1.3625451829653288e-06
HM,허드 앤 맥도날드 군도,1-7월,0,2332,0.0,2.332e-06,,2.332e-06,3.9189138710842953e-07
CC,코스 군도,1-7월,22660,2323,2.266e-05,2.323e-06,-89.74845542806707,-2.0337e-05,3.903789417894005e-07
