산업,검색어,시트,행,열,셀주소,셀내용
가전,가정용,MTI코드표,49,4,D49,가정용전자제품
가전,가정용전자,MTI코드표,49,4,D49,가정용전자제품
농수산식품,식품,MTI코드표,64,4,D64,기호식품
농수산식품,농산,MTI코드표,65,4,D65,농산가공품
농수산식품,농산,MTI코드표,67,4,D67,기타농산물
농수산식품,수산,MTI코드표,81,4,D81,수산가공품
농수산식품,수산,MTI코드표,82,4,D82,수산부산물
농수산식품,수산,MTI코드표,83,4,D83,기타수산물
일반기계,공작기계,MTI코드표,192,4,D192,금속공작기계
농수산식품,식품,MTI코드표,196,4,D196,식품가공포장기계
일반기계,산업기계,MTI코드표,203,4,D203,기타산업기계
일반기계,기계요소,MTI코드표,218,4,D218,기계요소
가전,가정용,MTI코드표,229,4,D229,가정용회전기기
가전,가정용,MTI코드표,232,4,D232,기타가정용전자
가전,가정용전자,MTI코드표,232,4,D232,기타가정용전자
이차전지,축전지,MTI코드표,238,4,D238,축전지 및 소재
농수산식품,식품,MTI코드표,256,4,D256,귀금속장식품
농수산식품,농산,MTI코드표,276,4,D276,농산물왁스
농수산식품,농산,MTI코드표,301,4,D301,기타농산가공품
농수산식품,농산,MTI코드표,303,4,D303,기타농산물
농수산식품,수산,MTI코드표,360,4,D360,수산물통조림
농수산식품,수산,MTI코드표,361,4,D361,염장수산물
농수산식품,수산,MTI코드표,362,4,D362,건조수산물
농수산식품,수산,MTI코드표,363,4,D363,기타수산가공품
농수산식품,수산,MTI코드표,364,4,D364,수산부산물
농수산식품,수산,MTI코드표,365,4,D365,기타수산물
농수산식품,수산,MTI코드표,416,4,D416,수산화나트륨
농수산식품,식품,MTI코드표,427,4,D427,도자기장식품
농수산식품,식품,MTI코드표,435,4,D435,유리식기및장식품
일반기계,기계부품,MTI코드표,627,4,D627,금속공작기계부품
일반기계,공작기계,MTI코드표,627,4,D627,금속공작기계부품
일반기계,기계부품,MTI코드표,634,4,D634,섬유및피혁가공기계부품
일반기계,기계부품,MTI코드표,641,4,D641,제지인쇄기계부품
농수산식품,식품,MTI코드표,642,4,D642,식품가공기계
농수산식품,식품,MTI코드표,643,4,D643,식품포장기계
일반기계,기계부품,MTI코드표,654,4,D654,농기계부품
일반기계,기계부품,MTI코드표,657,4,D657,운반하역기계부품
일반기계,산업기계,MTI코드표,662,4,D662,기타산업기계
일반기계,기계요소,MTI코드표,705,4,D705,기타기계요소
가전,가정용,MTI코드표,774,4,D774,기타가정용회전기기
가전,가정용,MTI코드표,787,4,D787,기타가정용전자
가전,가정용전자,MTI코드표,787,4,D787,기타가정용전자
