대시보드품목,조회HS,기준월,HS코드,품목명,수출액_USD,수입액_USD,수출중량_KG,수입중량_KG,무역수지_USD,기준월_원본
반도체,8542,2025-01-01,8542311000,모노리식(monolithic) 집적회로,1916199148,2474360528,427618,233268,-558161380,2025.01
반도체,8542,2025-01-01,8542312000,하이브리드 집적회로,171297,813022,156,583,-641725,2025.01
반도체,8542,2025-01-01,8542313000,복합구조칩 집적회로,244598644,43955420,54328,6937,200643224,2025.01
반도체,8542,2025-01-01,8542314000,복합부품 집적회로(MCOs),540257547,400040780,65972,6937,140216767,2025.01
반도체,8542,2025-01-01,8542321010,디램,1836333612,610839469,125008,55248,1225494143,2025.01
반도체,8542,2025-01-01,8542321020,에스램,212947,571398,185,365,-358451,2025.01
반도체,8542,2025-01-01,8542321030,플래시 메모리,307270877,91295363,28242,7818,215975514,2025.01
반도체,8542,2025-01-01,8542321090,기타,22442752,39052323,9465,6991,-16609571,2025.01
반도체,8542,2025-01-01,8542322000,하이브리드 집적회로,263167,311623,21,25,-48456,2025.01
반도체,8542,2025-01-01,8542323000,복합구조칩 집적회로,2236388115,501757166,57610,12597,1734630949,2025.01
반도체,8542,2025-01-01,8542324000,복합부품 집적회로(MCOs),362776019,112221779,8690,1803,250554240,2025.01
반도체,8542,2025-01-01,8542331000,모노리식(monolithic) 집적회로,10725028,18020109,5994,5740,-7295081,2025.01
반도체,8542,2025-01-01,8542332000,하이브리드 집적회로,444002,883672,148,45,-439670,2025.01
반도체,8542,2025-01-01,8542333000,복합구조칩 집적회로,1836901,243845,2393,93,1593056,2025.01
반도체,8542,2025-01-01,8542334000,복합부품 집적회로(MCOs),1924274,5940545,261,960,-4016271,2025.01
반도체,8542,2025-01-01,8542391000,모노리식(monolithic) 집적회로,729372913,582488188,214389,188588,146884725,2025.01
반도체,8542,2025-01-01,8542392000,하이브리드 집적회로,1117532,2354995,1887,1171,-1237463,2025.01
반도체,8542,2025-01-01,8542393000,복합구조칩 집적회로,21610995,14578844,9151,7510,7032151,2025.01
반도체,8542,2025-01-01,8542394000,복합부품 집적회로(MCOs),9572051,18406715,44106,29773,-8834664,2025.01
반도체,8542,2025-01-01,8542900000,부분품,25471835,3929361,310250,26390,21542474,2025.01
반도체,8542,2025-02-01,8542311000,모노리식(monolithic) 집적회로,1939893956,2466126831,427511,216934,-526232875,2025.02
반도체,8542,2025-02-01,8542312000,하이브리드 집적회로,181942,852856,208,454,-670914,2025.02
반도체,8542,2025-02-01,8542313000,복합구조칩 집적회로,190329633,52694581,57738,8469,137635052,2025.02
반도체,8542,2025-02-01,8542314000,복합부품 집적회로(MCOs),487663826,180983005,53232,8920,306680821,2025.02
반도체,8542,2025-02-01,8542321010,디램,1681458212,604446765,125509,57752,1077011447,2025.02
반도체,8542,2025-02-01,8542321020,에스램,288224,560148,132,344,-271924,2025.02
반도체,8542,2025-02-01,8542321030,플래시 메모리,294102633,102257306,46779,10451,191845327,2025.02
반도체,8542,2025-02-01,8542321090,기타,29131018,34094353,10133,6612,-4963335,2025.02
반도체,8542,2025-02-01,8542322000,하이브리드 집적회로,7812,610716,20,26,-602904,2025.02
반도체,8542,2025-02-01,8542323000,복합구조칩 집적회로,2286774946,510878009,61125,16325,1775896937,2025.02
반도체,8542,2025-02-01,8542324000,복합부품 집적회로(MCOs),434173870,169536284,10012,2810,264637586,2025.02
반도체,8542,2025-02-01,8542331000,모노리식(monolithic) 집적회로,13127908,14831575,6761,7481,-1703667,2025.02
반도체,8542,2025-02-01,8542332000,하이브리드 집적회로,443458,1068311,224,39,-624853,2025.02
반도체,8542,2025-02-01,8542333000,복합구조칩 집적회로,1149525,568835,1543,103,580690,2025.02
반도체,8542,2025-02-01,8542334000,복합부품 집적회로(MCOs),1137110,3809037,219,478,-2671927,2025.02
반도체,8542,2025-02-01,8542391000,모노리식(monolithic) 집적회로,695001242,561841296,203571,190612,133159946,2025.02
반도체,8542,2025-02-01,8542392000,하이브리드 집적회로,1554785,2548814,2682,1746,-994029,2025.02
반도체,8542,2025-02-01,8542393000,복합구조칩 집적회로,19807298,21552162,9263,11922,-1744864,2025.02
반도체,8542,2025-02-01,8542394000,복합부품 집적회로(MCOs),10376390,21334566,46758,44404,-10958176,2025.02
