기준월,HS코드,품목명,수출액_USD,수입액_USD,수출중량_KG,수입중량_KG,무역수지_USD,기준월_원본
2026-04-01,8542392000,하이브리드 집적회로,2205124,3217531,5125,3931,-1012407,2026.04
2026-04-01,8542393000,복합구조칩 집적회로,26930723,16530128,7005,8456,10400595,2026.04
2026-04-01,8542394000,복합부품 집적회로(MCOs),18256921,30920049,38773,32619,-12663128,2026.04
2026-04-01,8542900000,부분품,40329157,4692595,448343,36533,35636562,2026.04
2026-05-01,8542311000,모노리식(monolithic) 집적회로,2355768203,2720667029,506089,246753,-364898826,2026.05
2026-05-01,8542312000,하이브리드 집적회로,1244090,2801220,825,671,-1557130,2026.05
2026-05-01,8542313000,복합구조칩 집적회로,180838288,32156925,70813,6980,148681363,2026.05
2026-05-01,8542314000,복합부품 집적회로(MCOs),981083712,386027407,63020,6580,595056305,2026.05
2026-05-01,8542321010,디램,11428371245,1065577200,147350,33963,10362794045,2026.05
2026-05-01,8542321020,에스램,731152,872415,215,295,-141263,2026.05
2026-05-01,8542321030,플래시 메모리,1721738700,272467758,30337,12289,1449270942,2026.05
2026-05-01,8542321090,기타,48579828,163644603,14339,6850,-115064775,2026.05
2026-05-01,8542322000,하이브리드 집적회로,116110,209930,24,14,-93820,2026.05
2026-05-01,8542323000,복합구조칩 집적회로,9621557514,1513136835,114827,12240,8108420679,2026.05
2026-05-01,8542324000,복합부품 집적회로(MCOs),2130950085,714133705,19827,3050,1416816380,2026.05
2026-05-01,8542331000,모노리식(monolithic) 집적회로,11248479,16644942,4691,4174,-5396463,2026.05
2026-05-01,8542332000,하이브리드 집적회로,793760,1244644,260,104,-450884,2026.05
2026-05-01,8542333000,복합구조칩 집적회로,1428532,108857,1892,176,1319675,2026.05
2026-05-01,8542334000,복합부품 집적회로(MCOs),1308697,8765318,294,786,-7456621,2026.05
2026-05-01,8542391000,모노리식(monolithic) 집적회로,864108843,738761926,242789,210418,125346917,2026.05
2026-05-01,8542392000,하이브리드 집적회로,3238365,4404065,6906,4315,-1165700,2026.05
2026-05-01,8542393000,복합구조칩 집적회로,27121874,15220293,6171,6221,11901581,2026.05
2026-05-01,8542394000,복합부품 집적회로(MCOs),17414527,23409518,37409,22119,-5994991,2026.05
2026-05-01,8542900000,부분품,36157308,2925926,370463,23339,33231382,2026.05
2026-06-01,8542311000,모노리식(monolithic) 집적회로,2286791909,3349184970,544551,275278,-1062393061,2026.06
2026-06-01,8542312000,하이브리드 집적회로,1135509,5407991,675,1202,-4272482,2026.06
2026-06-01,8542313000,복합구조칩 집적회로,188327334,44176956,81910,8507,144150378,2026.06
2026-06-01,8542314000,복합부품 집적회로(MCOs),951137972,679890775,69564,17002,271247197,2026.06
2026-06-01,8542321010,디램,11175623231,907098680,149633,41655,10268524551,2026.06
2026-06-01,8542321020,에스램,856193,2856176,385,394,-1999983,2026.06
2026-06-01,8542321030,플래시 메모리,2486161310,235181689,40030,11164,2250979621,2026.06
2026-06-01,8542321090,기타,48905614,213664953,20443,8956,-164759339,2026.06
2026-06-01,8542322000,하이브리드 집적회로,12527,84606,11,124,-72079,2026.06
2026-06-01,8542323000,복합구조칩 집적회로,12682181416,1800652453,134717,13302,10881528963,2026.06
2026-06-01,8542324000,복합부품 집적회로(MCOs),2646120290,699898264,18668,3831,1946222026,2026.06
2026-06-01,8542331000,모노리식(monolithic) 집적회로,11301310,19435931,4862,5705,-8134621,2026.06
2026-06-01,8542332000,하이브리드 집적회로,784850,960754,285,21,-175904,2026.06
2026-06-01,8542333000,복합구조칩 집적회로,1646025,305766,5322,91,1340259,2026.06
2026-06-01,8542334000,복합부품 집적회로(MCOs),2923245,13924458,659,1169,-11001213,2026.06
2026-06-01,8542391000,모노리식(monolithic) 집적회로,983481293,798379457,258716,229837,185101836,2026.06
2026-06-01,8542392000,하이브리드 집적회로,3320011,4964744,9093,6560,-1644733,2026.06
2026-06-01,8542393000,복합구조칩 집적회로,25677476,21437460,7505,10262,4240016,2026.06
2026-06-01,8542394000,복합부품 집적회로(MCOs),19612670,21420245,53099,26392,-1807575,2026.06
2026-06-01,8542900000,부분품,48194253,4248062,341505,31017,43946191,2026.06
2026-07-01,8542311000,모노리식(monolithic) 집적회로,2419736388,3275749563,546761,262635,-856013175,2026.07
2026-07-01,8542312000,하이브리드 집적회로,1243185,7984876,1042,1363,-6741691,2026.07
2026-07-01,8542313000,복합구조칩 집적회로,280916099,49324133,108504,12039,231591966,2026.07
2026-07-01,8542314000,복합부품 집적회로(MCOs),1030326541,506194613,63336,8809,524131928,2026.07
2026-07-01,8542321010,디램,13551552131,1135537301,155818,40047,12416014830,2026.07
2026-07-01,8542321020,에스램,48699567,2060933,963,469,46638634,2026.07
2026-07-01,8542321030,플래시 메모리,1780647499,229162621,28836,11578,1551484878,2026.07
2026-07-01,8542321090,기타,71194012,114280546,17485,6448,-43086534,2026.07
2026-07-01,8542322000,하이브리드 집적회로,402060,106497,14,7,295563,2026.07
2026-07-01,8542323000,복합구조칩 집적회로,10085845139,1600266240,105714,10821,8485578899,2026.07
2026-07-01,8542324000,복합부품 집적회로(MCOs),2467755334,674376226,16573,2392,1793379108,2026.07
2026-07-01,8542331000,모노리식(monolithic) 집적회로,13391706,19469857,3807,5554,-6078151,2026.07
2026-07-01,8542332000,하이브리드 집적회로,813593,814293,199,29,-700,2026.07
2026-07-01,8542333000,복합구조칩 집적회로,2114806,500615,2499,110,1614191,2026.07
2026-07-01,8542334000,복합부품 집적회로(MCOs),3979444,6437677,1070,644,-2458233,2026.07
2026-07-01,8542391000,모노리식(monolithic) 집적회로,868962280,712430082,262771,220240,156532198,2026.07
2026-07-01,8542392000,하이브리드 집적회로,4522413,5059299,11503,2742,-536886,2026.07
2026-07-01,8542393000,복합구조칩 집적회로,22816089,17765803,6484,10059,5050286,2026.07
2026-07-01,8542394000,복합부품 집적회로(MCOs),20478288,19213702,56111,25469,1264586,2026.07
2026-07-01,8542900000,부분품,47779913,4583129,290443,37492,43196784,2026.07
