MTI6코드,품목명,행,코드열,품목명열,MTI1,MTI2,MTI3,MTI4
016400,면류,64,1,2.0,0,01,016,0164
111100,금,32,1,2.0,1,11,111,1111
111200,은,39,1,2.0,1,11,111,1112
111410,,91,6,,1,11,111,1114
126624,,19,6,,1,12,126,1266
129185,,36,6,,1,12,129,1291
133120,자동차휘발유,17,1,2.0,1,13,133,1331
133200,경유,11,1,2.0,1,13,133,1332
133310,제트유,19,1,2.0,1,13,133,1333
133400,나프타,61,1,2.0,1,13,133,1334
133600,윤활유,25,1,2.0,1,13,133,1336
133900,기타석유제품,94,1,2.0,1,13,133,1339
136627,,89,6,,1,13,136,1366
152009,,76,6,,1,15,152,1520
177066,,83,6,,1,17,177,1770
183259,,41,6,,1,18,183,1832
192261,,57,6,,1,19,192,1922
196758,,56,6,,1,19,196,1967
203449,,84,6,,2,20,203,2034
211010,에틸렌,84,1,2.0,2,21,211,2110
211020,프로필렌,96,1,2.0,2,21,211,2110
211040,벤젠,54,1,2.0,2,21,211,2110
211844,,98,9,,2,21,211,2118
212020,파라크실렌,36,1,2.0,2,21,212,2120
213020,텔레프탈산,85,1,2.0,2,21,213,2130
214001,저밀도에틸렌,59,1,2.0,2,21,214,2140
214002,고밀도에틸렌,76,1,2.0,2,21,214,2140
214004,폴리프로필렌,41,1,2.0,2,21,214,2140
214006,ABS수지,70,1,2.0,2,21,214,2140
214008,폴리메타아크릴산메틸,66,1,2.0,2,21,214,2140
214013,폴리카보네이트,90,1,2.0,2,21,214,2140
214090,기타합성수지,26,1,2.0,2,21,214,2140
216939,,14,8,,2,21,216,2169
219000,기타석유화학제품,35,1,2.0,2,21,219,2190
227320,"메이크업, 기초화장품",18,1,2.0,2,22,227,2273
228458,,97,6,,2,22,228,2284
228900,기타정밀화학원료,27,1,2.0,2,22,228,2289
229090,기타정밀화학제품,103,1,2.0,2,22,229,2290
234839,,63,6,,2,23,234,2348
256918,,29,9,,2,25,256,2569
273136,,54,6,,2,27,273,2731
290090,기타화학공업제품,47,1,2.0,2,29,290,2900
310900,기타플라스틱제품,24,1,2.0,3,31,310,3109
319178,,90,6,,3,31,319,3191
320310,승용차용타이어,51,1,2.0,3,32,320,3203
321275,,45,6,,3,32,321,3212
356933,,59,6,,3,35,356,3569
395887,,88,6,,3,39,395,3958
404686,,64,6,,4,40,404,4046
409641,,66,6,,4,40,409,4096
418631,,6,8,,4,41,418,4186
436000,편직물,83,1,2.0,4,43,436,4360
464746,,96,6,,4,46,464,4647
497440,,37,6,,4,49,497,4974
511357,,69,9,,5,51,511,5113
513023,,62,6,,5,51,513,5130
515190,기타문구,75,1,2.0,5,51,515,5151
531312,,99,6,,5,53,531,5313
534830,,53,6,,5,53,534,5348
539029,,67,9,,5,53,539,5390
613110,철및비합금강중후판,71,1,2.0,6,61,613,6131
613210,철및비합금강열연강판,42,1,2.0,6,61,613,6132
613310,철및비합금강냉연강판,53,1,2.0,6,61,613,6133
613410,용융아연도강판,46,1,2.0,6,61,613,6134
613430,착색아연도강판,63,1,2.0,6,61,613,6134
614414,,94,6,,6,61,614,6144
621240,알루미늄판,43,1,2.0,6,62,621,6212
622120,동괴,52,1,2.0,6,62,622,6221
626110,아연괴,91,1,2.0,6,62,626,6261
630638,,87,9,,6,63,630,6306
665601,,74,6,,6,66,665,6656
690000,기타철강금속제품,80,1,2.0,6,69,690,6900
692690,기타주철,73,1,2.0,6,69,692,6926
713610,화학기계,92,1,2.0,7,71,713,7136
719190,기타기계류,40,1,2.0,7,71,719,7191
719290,기타기계류부품,82,1,2.0,7,71,719,7192
721130,건설중장비부품,79,1,2.0,7,72,721,7211
721190,기타건설중장비,45,1,2.0,7,72,721,7211
723190,기타운반하역기계,86,1,2.0,7,72,723,7231
724390,기타광학기기부품,77,1,2.0,7,72,724,7243
729010,기타산업기계,60,1,2.0,7,72,729,7290
730859,,92,9,,7,73,730,7308
732100,반도체제조용장비,28,1,2.0,7,73,732,7321
732200,반도체제조용장비부품,33,1,2.0,7,73,732,7322
741310,내연기관 승용차(신차),8,1,2.0,7,74,741,7413
741320,내연기관 승용차(중고차),23,1,2.0,7,74,741,7413
741330,하이브리드 승용차(신차),13,1,2.0,7,74,741,7413
741350,전기 승용차(신차),21,1,2.0,7,74,741,7413
741410,내연기관 화물차(신차),62,1,2.0,7,74,741,7414
