기준값,HS_raw,수출액_USD,수입액_USD
2026.07,0303898000,61284.0,203371.0
2026.07,0303899010,148.0,0.0
2026.07,0303899020,0.0,37425.0
2026.07,0303899030,113160.0,0.0
2026.07,0303899040,1259568.0,4048665.0
2026.07,0303899050,1690074.0,2803975.0
2026.07,0303899060,225425.0,2144345.0
2026.07,0303899070,0.0,234614.0
2026.07,0303899080,0.0,199410.0
2026.07,0303899091,61934.0,5409347.0
2026.07,0303899092,951.0,1893478.0
2026.07,0303899099,6146231.0,3919950.0
2026.07,0303911000,812.0,2448.0
2026.07,0303912010,2219353.0,5436163.0
2026.07,0303912090,412468.0,1323697.0
2026.07,0303990000,250407.0,640909.0
2026.07,0304390000,55713.0,141002.0
2026.07,0304410000,12645.0,14120852.0
2026.07,0304439000,23633.0,0.0
2026.07,0304480000,30.0,0.0
2026.07,0304491000,611603.0,0.0
2026.07,0304492000,0.0,17911.0
2026.07,0304499000,12533.0,76587.0
2026.07,0304519000,129.0,0.0
2026.07,0304591000,541.0,0.0
2026.07,0304599090,1340.0,0.0
2026.07,0304610000,1890.0,238483.0
2026.07,0304620000,0.0,535206.0
2026.07,0304690000,0.0,620380.0
2026.07,0304710000,0.0,220269.0
2026.07,0304740000,0.0,164324.0
2026.07,0304750000,218005.0,4941530.0
2026.07,0304790000,0.0,3290.0
2026.07,0304810000,0.0,670481.0
2026.07,0304831000,26071.0,1073442.0
2026.07,0304839000,1605.0,13845.0
2026.07,0304840000,1171565.0,240366.0
2026.07,0304860000,0.0,31350.0
2026.07,0304871000,5399789.0,9382913.0
2026.07,0304879000,21291583.0,1453677.0
2026.07,0304881000,0.0,475.0
2026.07,0304891000,86675.0,233568.0
2026.07,0304893000,0.0,6004.0
2026.07,0304894000,0.0,46207.0
2026.07,0304895000,167043.0,4387737.0
2026.07,0304899000,1326028.0,3961361.0
2026.07,0304919000,8744.0,0.0
2026.07,0304931000,0.0,49585.0
2026.07,0304939000,0.0,71805.0
2026.07,0304941000,3283216.0,6325334.0
2026.07,0304949000,3789.0,0.0
2026.07,0304951000,0.0,465.0
2026.07,0304991000,0.0,12204401.0
2026.07,0304999000,159730.0,178702.0
2026.07,0305202000,0.0,260.0
2026.07,0305203000,0.0,68.0
2026.07,0305204010,59003.0,0.0
2026.07,0305204090,9.0,5155.0
2026.07,0305311000,0.0,2.0
2026.07,0305321000,0.0,27890.0
2026.07,0305391000,835.0,1140.0
2026.07,0305392000,4509.0,978.0
2026.07,0305410000,0.0,44870.0
2026.07,0305420000,972.0,0.0
2026.07,0305491000,123.0,8.0
2026.07,0305492000,0.0,10.0
2026.07,0305499000,0.0,1281957.0
2026.07,0305510000,1293.0,50998.0
2026.07,0305520000,0.0,15292.0
2026.07,0305531000,376020.0,6351887.0
2026.07,0305539000,42.0,2477.0
2026.07,0305541000,1060897.0,3874.0
2026.07,0305549000,25300.0,28.0
2026.07,0305594000,161320.0,0.0
2026.07,0305598000,0.0,19.0
2026.07,0305599000,222979.0,229247.0
