MTI6코드,품목명,원본파일,원본행,MTI1,MTI2,MTI3,MTI4
012530,잣,KITA_MTI6_13.xls,55,0,01,012,0125
012540,은행,KITA_MTI6_13.xls,25,0,01,012,0125
012550,아몬드,KITA_MTI6_11.xls,68,0,01,012,0125
012560,코코넛,KITA_MTI6_13.xls,66,0,01,012,0125
012590,기타견과류,KITA_MTI6_10.xls,31,0,01,012,0125
012910,잔디,KITA_MTI6_13.xls,57,0,01,012,0129
012990,기타산식물,KITA_MTI6_11.xls,77,0,01,012,0129
013110,대두유,KITA_MTI6_09.xls,100,0,01,013,0131
013120,참기름,KITA_MTI6_08.xls,11,0,01,013,0131
013130,들기름,KITA_MTI6_09.xls,102,0,01,013,0131
013140,올리브유,KITA_MTI6_10.xls,83,0,01,013,0131
013190,기타식물성유지,KITA_MTI6_08.xls,32,0,01,013,0131
013210,마아가린,KITA_MTI6_12.xls,36,0,01,013,0132
013290,기타유지가공품,KITA_MTI6_03.xls,92,0,01,013,0132
013300,농산물왁스,KITA_MTI6_12.xls,70,0,01,013,0133
013400,식물성액즙,KITA_MTI6_06.xls,35,0,01,013,0134
013500,박류,KITA_MTI6_07.xls,51,0,01,013,0135
013600,사료,KITA_MTI6_03.xls,96,0,01,013,0136
013900,기타식물성물질,KITA_MTI6_10.xls,16,0,01,013,0139
014100,빵제조용재료,KITA_MTI6_06.xls,24,0,01,014,0141
014200,효모류,KITA_MTI6_08.xls,58,0,01,014,0142
014310,간장,KITA_MTI6_07.xls,78,0,01,014,0143
014320,된장,KITA_MTI6_08.xls,71,0,01,014,0143
014330,고추장,KITA_MTI6_05..xls,102,0,01,014,0143
014340,토마토케찹,KITA_MTI6_09.xls,56,0,01,014,0143
014350,겨자,KITA_MTI6_11.xls,15,0,01,014,0143
014360,마요네스,KITA_MTI6_08.xls,15,0,01,014,0143
014370,카레,KITA_MTI6_09.xls,91,0,01,014,0143
014390,기타소스류,KITA_MTI6_03.xls,74,0,01,014,0143
014400,향신료,KITA_MTI6_12.xls,23,0,01,014,0144
014500,지방성물질,KITA_MTI6_07.xls,46,0,01,014,0145
014900,기타식물성재료,KITA_MTI6_09.xls,65,0,01,014,0149
015110,커피,KITA_MTI6_08.xls,62,0,01,015,0151
015120,커피조제품,KITA_MTI6_03.xls,57,0,01,015,0151
015210,초코렛,KITA_MTI6_07.xls,62,0,01,015,0152
015220,코코아조제품,KITA_MTI6_06.xls,19,0,01,015,0152
015310,녹차,KITA_MTI6_08.xls,98,0,01,015,0153
015320,홍차,KITA_MTI6_09.xls,70,0,01,015,0153
015410,잎담배,KITA_MTI6_06.xls,103,0,01,015,0154
015420,제조담배,KITA_MTI6_02.xls,62,0,01,015,0154
015510,수삼,KITA_MTI6_10.xls,87,0,01,015,0155
015520,백삼,KITA_MTI6_09.xls,49,0,01,015,0155
015530,홍삼,KITA_MTI6_05..xls,26,0,01,015,0155
015590,인삼의 기타 부분,KITA_MTI6_11.xls,17,0,01,015,0155
015600,식물성한약재,KITA_MTI6_10.xls,11,0,01,015,0156
015710,소주,KITA_MTI6_05..xls,55,0,01,015,0157
015720,맥주,KITA_MTI6_05..xls,50,0,01,015,0157
015730,인삼주,KITA_MTI6_12.xls,57,0,01,015,0157
015740,포도주,KITA_MTI6_11.xls,95,0,01,015,0157
015750,위스키,KITA_MTI6_10.xls,99,0,01,015,0157
015760,브랜디,KITA_MTI6_12.xls,22,0,01,015,0157
015790,기타주류,KITA_MTI6_04.xls,70,0,01,015,0157
015810,원당,KITA_MTI6_12.xls,29,0,01,015,0158
015820,정당,KITA_MTI6_05..xls,17,0,01,015,0158
015830,당밀,KITA_MTI6_12.xls,66,0,01,015,0158
015890,기타당류,KITA_MTI6_06.xls,20,0,01,015,0158
015910,물,KITA_MTI6_04.xls,62,0,01,015,0159
015920,음료베이스,KITA_MTI6_06.xls,43,0,01,015,0159
015930,인삼음료,KITA_MTI6_06.xls,21,0,01,015,0159
015940,과일주스,KITA_MTI6_04.xls,82,0,01,015,0159
015990,기타음료,KITA_MTI6_03.xls,20,0,01,015,0159
016110,검,KITA_MTI6_09.xls,48,0,01,016,0161
016120,사탕,KITA_MTI6_05..xls,27,0,01,016,0161
016130,비스킷,KITA_MTI6_04.xls,68,0,01,016,0161
016200,곡류가공품,KITA_MTI6_04.xls,46,0,01,016,0162
016300,빵,KITA_MTI6_03.xls,91,0,01,016,0163
016400,면류,KITA_MTI6_01.xls,65,0,01,016,0164
016500,빙과류,KITA_MTI6_04.xls,97,0,01,016,0165
016900,기타농산가공품,KITA_MTI6_02.xls,93,0,01,016,0169
017000,종자류,KITA_MTI6_06.xls,34,0,01,017,0170
019000,기타농산물,KITA_MTI6_13.xls,35,0,01,019,0190
021110,소,KITA_MTI6_13.xls,41,0,02,021,0211
021120,돼지,KITA_MTI6_13.xls,83,0,02,021,0211
021130,말,KITA_MTI6_10.xls,70,0,02,021,0211
021190,기타가축,KITA_MTI6_09.xls,85,0,02,021,0211
021210,닭,KITA_MTI6_12.xls,87,0,02,021,0212
021220,오리,KITA_MTI6_13.xls,84,0,02,021,0212
021900,기타산동물,KITA_MTI6_10.xls,40,0,02,021,0219
022110,쇠고기,KITA_MTI6_09.xls,32,0,02,022,0221
022120,돼지고기,KITA_MTI6_06.xls,71,0,02,022,0221
022130,양고기,KITA_MTI6_13.xls,30,0,02,022,0221
022190,기타가축육류,KITA_MTI6_13.xls,58,0,02,022,0221
022210,닭고기,KITA_MTI6_05..xls,44,0,02,022,0222
022220,오리고기,KITA_MTI6_13.xls,6,0,02,022,0222
022230,칠면조고기,KITA_MTI6_13.xls,33,0,02,022,0222
022290,기타가금육류,KITA_MTI6_09.xls,33,0,02,022,0222
022910,식용곤충,KITA_MTI6_13.xls,22,0,02,022,0229
022990,기타육류,KITA_MTI6_12.xls,92,0,02,022,0229
023110,우지,KITA_MTI6_08.xls,46,0,02,023,0231
023120,돈지,KITA_MTI6_13.xls,85,0,02,023,0231
023190,기타동물성유지,KITA_MTI6_10.xls,49,0,02,023,0231
023210,상아,KITA_MTI6_13.xls,75,0,02,023,0232
023290,기타동물뼈,KITA_MTI6_13.xls,86,0,02,023,0232
023310,녹용,KITA_MTI6_10.xls,95,0,02,023,0233
023320,웅담,KITA_MTI6_13.xls,34,0,02,023,0233
023390,기타동물성한약재,KITA_MTI6_09.xls,50,0,02,023,0233
023900,기타축산물부산물,KITA_MTI6_07.xls,94,0,02,023,0239
024110,소시지,KITA_MTI6_08.xls,76,0,02,024,0241
024190,기타육류가공품,KITA_MTI6_09.xls,27,0,02,024,0241
024210,꿀,KITA_MTI6_12.xls,58,0,02,024,0242
024220,로얄제리,KITA_MTI6_02.xls,52,0,02,024,0242
024310,우유,KITA_MTI6_09.xls,64,0,02,024,0243
024320,분유,KITA_MTI6_05..xls,94,0,02,024,0243
024330,버터,KITA_MTI6_12.xls,52,0,02,024,0243
024340,치이즈,KITA_MTI6_08.xls,48,0,02,024,0243
024350,발효유,KITA_MTI6_11.xls,98,0,02,024,0243
024390,기타낙농품,KITA_MTI6_06.xls,17,0,02,024,0243
024400,난류,KITA_MTI6_10.xls,21,0,02,024,0244
024500,단백질류,KITA_MTI6_05..xls,88,0,02,024,0245
025000,모류,KITA_MTI6_06.xls,33,0,02,025,0250
031100,원목,KITA_MTI6_12.xls,38,0,03,031,0311
031200,제재목,KITA_MTI6_09.xls,42,0,03,031,0312
031310,합판,KITA_MTI6_09.xls,84,0,03,031,0313
031320,단판적층재(LVL),KITA_MTI6_13.xls,32,0,03,031,0313
031400,단판,KITA_MTI6_10.xls,28,0,03,031,0314
031500,섬유판,KITA_MTI6_08.xls,65,0,03,031,0315
031600,파티클보드,KITA_MTI6_11.xls,83,0,03,031,0316
031710,구조용공학목재,KITA_MTI6_13.xls,26,0,03,031,0317
031790,기타건축용목제품,KITA_MTI6_10.xls,15,0,03,031,0317
031810,목재틀,KITA_MTI6_11.xls,14,0,03,031,0318
031820,젓가락,KITA_MTI6_12.xls,42,0,03,031,0318
031830,목제식탁용품,KITA_MTI6_10.xls,78,0,03,031,0318
031840,목제장식품상자,KITA_MTI6_10.xls,58,0,03,031,0318
031890,기타목재생활용품,KITA_MTI6_11.xls,47,0,03,031,0318
031900,기타목재류,KITA_MTI6_06.xls,63,0,03,031,0319
032100,수목류,KITA_MTI6_11.xls,69,0,03,032,0321
032200,종자류,KITA_MTI6_12.xls,47,0,03,032,0322
033100,코르크,KITA_MTI6_11.xls,99,0,03,033,0331
033200,천연고무,KITA_MTI6_07.xls,65,0,03,033,0332
033900,기타임산부산물,KITA_MTI6_07.xls,30,0,03,033,0339
041100,참치,KITA_MTI6_04.xls,12,0,04,041,0411
041200,조기,KITA_MTI6_11.xls,45,0,04,041,0412
041300,갈치,KITA_MTI6_09.xls,18,0,04,041,0413
041400,명태,KITA_MTI6_07.xls,8,0,04,041,0414
041500,넙치,KITA_MTI6_06.xls,62,0,04,041,0415
041600,가자미,KITA_MTI6_12.xls,102,0,04,041,0416
041700,대구,KITA_MTI6_06.xls,30,0,04,041,0417
041800,뱀장어,KITA_MTI6_11.xls,59,0,04,041,0418
041900,기타어류,KITA_MTI6_02.xls,80,0,04,041,0419
042100,새우,KITA_MTI6_09.xls,104,0,04,042,0421
042210,꽃게,KITA_MTI6_08.xls,35,0,04,042,0422
042290,기타게,KITA_MTI6_04.xls,44,0,04,042,0422
042300,바다가재,KITA_MTI6_12.xls,91,0,04,042,0423
042900,기타갑각류,KITA_MTI6_10.xls,101,0,04,042,0429
043100,오징어,KITA_MTI6_05..xls,61,0,04,043,0431
043200,문어,KITA_MTI6_09.xls,68,0,04,043,0432
043300,낙지,KITA_MTI6_11.xls,79,0,04,043,0433
043400,굴,KITA_MTI6_06.xls,22,0,04,043,0434
043510,피조개,KITA_MTI6_08.xls,89,0,04,043,0435
043590,기타조개,KITA_MTI6_06.xls,12,0,04,043,0435
043900,기타연체동물,KITA_MTI6_06.xls,93,0,04,043,0439
044100,김,KITA_MTI6_03.xls,10,0,04,044,0441
