시트,검색어,행,열,셀내용
HSK코드표,섬유,5543,2,그 밖의 인조섬유와 혼방한 견직물
HSK코드표,섬유,5566,2,폴리에스테르섬유와 혼방한 것
HSK코드표,섬유,5567,2,폴리아미드섬유와 혼방한 것
HSK코드표,섬유,5568,2,그 밖의 합성섬유와 혼방한 것
HSK코드표,섬유,5571,2,합성섬유와 혼방한 것
HSK코드표,섬유,5572,2,그 밖의 섬유와 혼방한 것
HSK코드표,섬유,5573,2,폴리에스테르섬유와 혼방한 것
HSK코드표,섬유,5574,2,폴리아미드섬유와 혼방한 것
HSK코드표,섬유,5575,2,아크릴섬유와 혼방한 것
HSK코드표,섬유,5576,2,그 밖의 섬유와 혼방한 것
HSK코드표,섬유,5589,2,기타(주로 인조스테이플섬유와 혼방한 것으로 한정한다)
HSK코드표,섬유,5596,2,기타(주로 인조스테이플섬유와 혼방한 것으로 한정한다)
HSK코드표,섬유,5600,2,섬유 길이가 23.2밀리미터 미만인 것
HSK코드표,섬유,5601,2,섬유 길이가 23.2밀리미터 이상 25.4밀리미터 미만인 것
HSK코드표,섬유,5602,2,섬유 길이가 25.4밀리미터 이상 28.5밀리미터 미만인 것
HSK코드표,섬유,5603,2,섬유 길이가 28.5밀리미터 이상 34.9밀리미터 미만인 것
HSK코드표,섬유,5604,2,섬유 길이가 34.9밀리미터 이상인 것
HSK코드표,섬유,5754,2,그 밖의 방직용 인피(靭皮)섬유
HSK코드표,섬유,5756,2,그 밖의 방직용 인피(靭皮)섬유
HSK코드표,섬유,5758,2,그 밖의 방직용 인피(靭皮)섬유의 토우(tow)와 웨이스트(waste)
HSK코드표,코드,5790,2,타이어 코드사
HSK코드표,코드,5793,2,타이어 코드사
HSK코드표,섬유,5849,2,"재생ㆍ반(半)합성 모노필라멘트(67데시텍스 이상인 것으로서 횡단면의 치수가 1밀리미터 이하인 것으로 한정한다), 재생ㆍ반(半)합성 방직용 섬유재료의 스트립(strip)이나 이와 유사한 것[예: 인조 스트로(straw)](시폭이 5밀리미터 이하인 것으로 한정한다)"
HSK코드표,섬유,5939,2,합성섬유의 것
HSK코드표,섬유,5940,2,재생ㆍ반(半)합성 섬유의 것
HSK코드표,섬유,5946,2,재생ㆍ반(半)합성 스테이플섬유[카드(card)ㆍ코움(comb)이나 그 밖의 방적준비 처리를 한 것으로 한정한다]
HSK코드표,섬유,5949,2,재생ㆍ반(半)합성 스테이플섬유의 것
HSK코드표,섬유,5964,2,주로 재생ㆍ반(半)합성 스테이플섬유와 혼방한 것
HSK코드표,섬유,5990,2,합성스테이플섬유의 함유량이 전 중량의 100분의 85 이상인 것
HSK코드표,섬유,5991,2,합성스테이플섬유의 함유량이 전 중량의 100분의 85 미만인 것
HSK코드표,섬유,5992,2,재생ㆍ반(半)합성 스테이플섬유의 것
HSK코드표,섬유,6003,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6004,2,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다]
HSK코드표,섬유,6005,2,폴리에스테르 스테이플섬유의 그 밖의 직물
HSK코드표,섬유,6007,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6008,2,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다]
HSK코드표,섬유,6011,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6013,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6015,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6016,2,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다]
HSK코드표,섬유,6017,2,폴리에스테르 스테이플섬유의 기타직물
HSK코드표,섬유,6019,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6020,2,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다]
HSK코드표,섬유,6021,2,폴리에스테르 스테이플섬유의 그 밖의 직물
HSK코드표,섬유,6024,2,폴리에스테르 스테이플섬유의 것[평직(平織)으로 한정한다]
HSK코드표,섬유,6025,2,폴리에스테르 스테이플섬유의 능직(綾織)[3올이나 4올의 능직(綾織)으로 한정하며 파사문직(破斜文織)을 포함한다]
HSK코드표,섬유,6026,2,폴리에스테르 스테이플섬유의 그 밖의 직물
HSK코드표,섬유,6072,2,인조섬유로 만든 것
HSK코드표,섬유,6074,2,섬유의 플록(flock)
HSK코드표,섬유,6077,2,스티치 본드(stitch-bonded) 섬유직물
HSK코드표,섬유,6079,2,그 밖의 섬유로 만든 것
HSK코드표,섬유,6093,2,고무실과 고무끈(방직용 섬유로 피복한 것으로 한정한다)
HSK코드표,섬유,6096,2,"금속드리사(metallised yarn)[짐프한(gimped) 것인지에 상관없으며 방직용 섬유사, 제5404호나 제5405호의 스트립(strip)이나 이와 유사한 것으로서 실ㆍ스트립(strip)ㆍ가루 모양의 금속과 결합한 것이나 금속을 피복한 것으로 한정한다]"
HSK코드표,섬유,6105,2,그 밖의 합성섬유로 만든 것
HSK코드표,섬유,6106,2,"제5303호의 황마, 방직용 인피섬유로 만든 것"
HSK코드표,섬유,6114,2,합성섬유로 만든 것
HSK코드표,섬유,6118,2,식물성 섬유로 만든 것(면으로 만든 것은 제외한다)
HSK코드표,섬유,6119,2,인조섬유로 만든 것
HSK코드표,섬유,6122,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6124,2,코코넛섬유(코이어)로 만든 바닥깔개
HSK코드표,섬유,6126,2,인조섬유로 만든 것
HSK코드표,섬유,6127,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6129,2,인조섬유로 만든 것
HSK코드표,섬유,6130,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6133,2,인조섬유로 만든 것
HSK코드표,섬유,6134,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6140,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6144,2,그 밖의 양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개(제품으로 된 것인지에 상관없다)
HSK코드표,섬유,6156,2,그 밖의 섬유로 만든 것
HSK코드표,섬유,6158,2,그 밖의 섬유로 만든 테리타월지(terry towelling fabric)와 이와 유사한 테리(terry)직물
HSK코드표,섬유,6161,2,인조섬유로 만든 것
HSK코드표,섬유,6163,2,인조섬유로 만든 것
HSK코드표,섬유,6168,2,인조섬유로 만든 것
HSK코드표,섬유,6172,2,인조섬유로 만든 것
HSK코드표,섬유,6173,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6184,2,인조섬유로 만든 것
HSK코드표,섬유,6185,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6186,2,인조섬유로 만든 것
HSK코드표,섬유,6188,2,서적 장정용이나 이와 유사한 용도로 사용하는 방직용 섬유의 직물류로서 검(gum)이나 전분질의 물품을 도포한 것
HSK코드표,섬유,6191,2,버크럼(buckram)과 이와 유사한 경화가공된 방직용 섬유의 직물
HSK코드표,섬유,6200,2,방직용 섬유로 만든 벽 피복재
HSK코드표,섬유,6204,2,건성유의 조제품이나 기름을 도포ㆍ침투한 방직용 섬유의 직물류
HSK코드표,섬유,6209,2,방직용 섬유로 만든 호스와 이와 유사한 관 모양의 물품(다른 재료를 내장ㆍ보강한 것인지 또는 부속품이 있는지에 상관없다)
HSK코드표,섬유,6210,2,"전동(transmission)용ㆍ컨베이어용 벨트와 벨팅(belting)(방직용 섬유로 만든 것으로 한정하며, 플라스틱을 침투ㆍ도포ㆍ피복ㆍ적층한 것인지 또는 금속이나 그 밖의 물품으로 보강한 것인지에 상관없다)"
HSK코드표,섬유,6211,2,"침포(針布)로 사용하는 방직용 섬유의 직물류, 펠트(felt), 펠트(felt)로 안을 붙인 직물로서 고무ㆍ가죽 그 밖의 물품을 도포ㆍ피복하거나 적층한 물품으로 그 밖의 기술적 용도로 사용하는 이와 유사한 직물[위빙스핀들(weaving spindle)(위빙빔)을 피복하기 위한 고무를 침투시킨 벨벳으로 된 세폭(細幅)직물을 포함한다]"
HSK코드표,섬유,6218,2,인조섬유로 만든 것
HSK코드표,섬유,6221,2,인조섬유로 만든 것
HSK코드표,섬유,6222,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6224,2,인조섬유로 만든 것
HSK코드표,섬유,6225,2,그 밖의 방직용 섬유로 만든 것
HSK코드표,섬유,6230,2,합성섬유로 만든 것
HSK코드표,섬유,6231,2,재생ㆍ반(半)합성 섬유로 만든 것
HSK코드표,섬유,6267,2,합성섬유로 만든 것
HSK코드표,섬유,6268,2,재생ㆍ반(半)합성 섬유로 만든 것
