산업,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn
반도체 (831),1-7월,87962617000,233375418000,87.962617,233.375418,165.31204500202628,145.412801
자동차 (741),1-7월,42178543000,42158642000,42.178543,42.158642,-0.04718275830438712,-0.019901
컴퓨터 (813),1-7월,6804851000,25975332000,6.804851,25.975332,281.71786568140874,19.170481
선박해양구조물및부품 (746),1-7월,16221557000,19836912000,16.221557,19.836912,22.287348865463397,3.615355
자동차부품 (742),1-7월,12611319000,11969280000,12.611319,11.96928,-5.090974227200185,-0.642039
무선통신기기 (812),1-7월,8732287000,11710362000,8.732287,11.710362,34.104181413185344,2.978075
평판디스플레이 및 센서 (837),1-7월,9287343000,10038991000,9.287343,10.038991,8.093251212968022,0.751648
