산업,MTI6_수
반도체,14
자동차,26
자동차부품,3
선박,9
디스플레이,2
무선통신기기,17
컴퓨터,21
가전,0
일반기계,0
석유제품,12
석유화학,46
이차전지,0
철강,146
비철금속,68
전기기기,63
바이오헬스,11
농수산식품,0
화장품,8
생활용품,102
섬유,143
