기준월,요청_HSK10,수출액_USD
2025-03-01,8542321090,30225614.0
2025-03-01,8542322000,14572.0
2025-03-01,8542323000,3664579949.0
2025-03-01,8542324000,365577601.0
2025-03-01,8542331000,9629719.0
2025-03-01,8542332000,656477.0
2025-03-01,8542333000,1131756.0
2025-03-01,8542334000,1792607.0
2025-03-01,8542391000,970633916.0
2025-03-01,8542392000,885567.0
2025-03-01,8542393000,21126775.0
2025-03-01,8542394000,12166811.0
2025-03-01,8542900000,27967135.0
2025-03-01,8543901000,34157.0
2025-03-01,8548001000,55900.0
2025-04-01,3818001000,68198183.0
2025-04-01,3818002010,568.0
2025-04-01,3818002090,123752298.0
2025-04-01,8473304060,1373420281.0
2025-04-01,8523521000,4917993.0
2025-04-01,8523522000,150530.0
2025-04-01,8523529000,826697.0
2025-04-01,8541101000,6700150.0
2025-04-01,8541109000,20758694.0
2025-04-01,8541211000,14167666.0
2025-04-01,8541219000,12996426.0
2025-04-01,8541291000,70407162.0
2025-04-01,8541299000,19533331.0
2025-04-01,8541301000,38819.0
2025-04-01,8541302000,357025.0
2025-04-01,8541303000,30953.0
2025-04-01,8541304000,42534.0
2025-04-01,8541411000,1503275.0
2025-04-01,8541419000,26805969.0
2025-04-01,8541420000,57787783.0
2025-04-01,8541491000,11432904.0
2025-04-01,8541492000,292669.0
2025-04-01,8541493000,37333241.0
2025-04-01,8541499000,7537204.0
2025-04-01,8541511000,746454.0
2025-04-01,8541512000,81697.0
2025-04-01,8541513000,18040.0
2025-04-01,8541514000,52854.0
2025-04-01,8541591000,11140891.0
2025-04-01,8541599000,1177733.0
2025-04-01,8541601000,3764091.0
2025-04-01,8541609000,2512119.0
2025-04-01,8541902000,612659.0
2025-04-01,8541903000,1308699.0
2025-04-01,8541909000,7063325.0
2025-04-01,8542311000,2318851176.0
2025-04-01,8542312000,241259.0
2025-04-01,8542313000,237764422.0
2025-04-01,8542314000,531354397.0
2025-04-01,8542321010,2103328275.0
2025-04-01,8542321020,393217.0
2025-04-01,8542321030,430255719.0
2025-04-01,8542321090,29783661.0
2025-04-01,8542322000,40896.0
2025-04-01,8542323000,2845754081.0
2025-04-01,8542324000,351498295.0
2025-04-01,8542331000,13670702.0
2025-04-01,8542332000,772916.0
2025-04-01,8542333000,966409.0
2025-04-01,8542334000,1353042.0
2025-04-01,8542391000,844547783.0
2025-04-01,8542392000,1119654.0
2025-04-01,8542393000,19784062.0
2025-04-01,8542394000,9532900.0
2025-04-01,8542900000,34935489.0
2025-04-01,8543901000,3167.0
2025-04-01,8548001000,22397.0
2025-05-01,3818001000,78886108.0
2025-05-01,3818002010,165286.0
2025-05-01,3818002090,134972412.0
2025-05-01,8473304060,1717278934.0
2025-05-01,8523521000,5150775.0
2025-05-01,8523522000,252209.0
2025-05-01,8523529000,856134.0
2025-05-01,8541101000,4840125.0
2025-05-01,8541109000,21217511.0
2025-05-01,8541211000,10573653.0
2025-05-01,8541219000,12783139.0
2025-05-01,8541291000,57526528.0
2025-05-01,8541299000,18692247.0
2025-05-01,8541301000,0.0
2025-05-01,8541302000,2313207.0
2025-05-01,8541303000,12160.0
2025-05-01,8541304000,76739.0
2025-05-01,8541411000,1577165.0
2025-05-01,8541419000,27372825.0
2025-05-01,8541420000,51997175.0
2025-05-01,8541491000,8400454.0
2025-05-01,8541492000,129063.0
2025-05-01,8541493000,28288068.0
2025-05-01,8541499000,6631725.0
2025-05-01,8541511000,974479.0
2025-05-01,8541512000,236010.0
2025-05-01,8541513000,9410.0
2025-05-01,8541514000,178705.0
2025-05-01,8541591000,10653081.0
2025-05-01,8541599000,2339042.0
2025-05-01,8541601000,4115811.0
2025-05-01,8541609000,2742001.0
2025-05-01,8541902000,927124.0
2025-05-01,8541903000,939626.0
2025-05-01,8541909000,6482880.0
2025-05-01,8542311000,2434188995.0
2025-05-01,8542312000,323913.0
2025-05-01,8542313000,224259744.0
2025-05-01,8542314000,573916120.0
2025-05-01,8542321010,2244898642.0
2025-05-01,8542321020,851126.0
2025-05-01,8542321030,561258878.0
2025-05-01,8542321090,32419112.0
2025-05-01,8542322000,795.0
2025-05-01,8542323000,4006723549.0
2025-05-01,8542324000,491311783.0
2025-05-01,8542331000,9977609.0
2025-05-01,8542332000,848737.0
2025-05-01,8542333000,982275.0
2025-05-01,8542334000,2719199.0
2025-05-01,8542391000,928565299.0
2025-05-01,8542392000,1110251.0
2025-05-01,8542393000,16123463.0
2025-05-01,8542394000,13682511.0
2025-05-01,8542900000,30394620.0
2025-05-01,8543901000,224.0
2025-05-01,8548001000,36921.0
2025-06-01,3818001000,87382703.0
2025-06-01,3818002010,3917.0
2025-06-01,3818002090,137178736.0
2025-06-01,8473304060,2213388013.0
2025-06-01,8523521000,10564721.0
2025-06-01,8523522000,349886.0
2025-06-01,8523529000,987765.0
2025-06-01,8541101000,3961641.0
2025-06-01,8541109000,18387798.0
2025-06-01,8541211000,16194990.0
2025-06-01,8541219000,11583251.0
2025-06-01,8541291000,74756435.0
2025-06-01,8541299000,20351406.0
2025-06-01,8541301000,1936.0
2025-06-01,8541302000,302227.0
2025-06-01,8541303000,33533.0
2025-06-01,8541304000,22063.0
2025-06-01,8541411000,1291725.0
2025-06-01,8541419000,24707169.0
2025-06-01,8541420000,4131062.0
2025-06-01,8541491000,6571460.0
2025-06-01,8541492000,116293.0
2025-06-01,8541493000,41498894.0
2025-06-01,8541499000,4994508.0
2025-06-01,8541511000,1064818.0
2025-06-01,8541512000,114145.0
2025-06-01,8541513000,36744.0
2025-06-01,8541514000,39763.0
2025-06-01,8541591000,10193787.0
2025-06-01,8541599000,2431442.0
2025-06-01,8541601000,3303483.0
2025-06-01,8541609000,2534006.0
2025-06-01,8541902000,786893.0
2025-06-01,8541903000,1162568.0
2025-06-01,8541909000,6527338.0
2025-06-01,8542311000,2150592484.0
2025-06-01,8542312000,258154.0
2025-06-01,8542313000,277481697.0
2025-06-01,8542314000,554594875.0
2025-06-01,8542321010,2291729325.0
2025-06-01,8542321020,478333.0
2025-06-01,8542321030,620739271.0
2025-06-01,8542321090,33374009.0
2025-06-01,8542322000,53586.0
2025-06-01,8542323000,4687620058.0
2025-06-01,8542324000,596256523.0
2025-06-01,8542331000,8263652.0
2025-06-01,8542332000,796291.0
2025-06-01,8542333000,786585.0
2025-06-01,8542334000,2026206.0
2025-06-01,8542391000,970543278.0
2025-06-01,8542392000,973786.0
2025-06-01,8542393000,16192638.0
2025-06-01,8542394000,11879060.0
2025-06-01,8542900000,30670285.0
2025-06-01,8543901000,21523.0
2025-06-01,8548001000,4037.0
2025-07-01,3818001000,77412280.0
2025-07-01,3818002010,35334.0
2025-07-01,3818002090,144347817.0
2025-07-01,8473304060,1906167745.0
2025-07-01,8523521000,15195564.0
2025-07-01,8523522000,359208.0
2025-07-01,8523529000,1451993.0
2025-07-01,8541101000,3636704.0
2025-07-01,8541109000,21293487.0
2025-07-01,8541211000,12645729.0
2025-07-01,8541219000,12201787.0
