산업20,소분류코드,공식소분류명,신성질코드,신성질품목명,시작월,종료월,상태,item수,resultCode,resultMsg
반도체,34010000,1)반도체,34010290,(기타 개별소자반도체),202501,202512,OK,687,00,정상서비스.
반도체,34010000,1)반도체,34010290,(기타 개별소자반도체),202601,202608,OK,482,00,정상서비스.
반도체,34010000,1)반도체,34010301,(실리콘웨이퍼),202501,202512,OK,314,00,정상서비스.
반도체,34010000,1)반도체,34010301,(실리콘웨이퍼),202601,202608,OK,206,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040101,(가구),202501,202512,OK,1212,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040101,(가구),202601,202608,OK,778,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040201,(가사용구),202501,202512,OK,1120,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040201,(가사용구),202601,202608,OK,731,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040301,(손목시계),202501,202512,OK,450,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040301,(손목시계),202601,202608,OK,337,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040302,(전자시계),202501,202512,OK,45,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040302,(전자시계),202601,202608,OK,62,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040303,(자명종시계),202501,202512,OK,113,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040303,(자명종시계),202601,202608,OK,93,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040304,(벽시계),202501,202512,OK,145,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040304,(벽시계),202601,202608,OK,110,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040305,(시계줄),202501,202512,OK,286,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040305,(시계줄),202601,202608,OK,192,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040390,(기타 시계),202501,202512,OK,556,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040390,(기타 시계),202601,202608,OK,341,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040401,(목제 생활용품),202501,202512,OK,496,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040401,(목제 생활용품),202601,202608,OK,427,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040501,(플라스틱제 생활용품),202501,202512,OK,1842,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040501,(플라스틱제 생활용품),202601,202608,OK,1258,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040601,(의료위생용품),202501,202512,OK,1408,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040601,(의료위생용품),202601,202608,OK,938,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040701,(악기류),202501,202512,OK,538,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040701,(악기류),202601,202608,OK,357,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040801,(완구류),202501,202512,OK,1346,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040801,(완구류),202601,202608,OK,1004,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040901,(장신구),202501,202512,OK,1008,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12040901,(장신구),202601,202608,OK,726,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12041001,(장식용 세공품),202501,202512,OK,729,00,정상서비스.
생활용품,12040000,4)내구성 생활용품,12041001,(장식용 세공품),202601,202608,OK,562,00,정상서비스.
