산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
6,석유화학,202601,527367.0,0.000527367,-90.19061420753562,-60.039538630105426,,4
6,석유화학,202602,1438090.0,0.00143809,172.6924513668849,-40.083677615362944,,4
6,석유화학,202603,5542644.0,0.005542644,285.4170462210293,21.90484652924969,-9.17527834656714,4
6,석유화학,202604,2559775.0,0.002559775,-53.81671635414433,31.701683871711282,7.311553699537154,4
6,석유화학,202605,2095975.0,0.002095975,-18.118779970895883,35.86653546573737,26.956467614467105,4
6,석유화학,202606,2459969.0,0.002459969,17.366333090804996,-40.85775606209629,-6.931740315699065,4
6,석유화학,202607,3987748.0,0.003987748,62.1056200301711,90.2723098600017,9.564095126196893,4
6,석유화학,202608,5827904.0,0.005827904,46.1452428789382,198.19615981694506,49.52749266469239,4
7,선박류,202501,25469892.0,0.025469892,,,,6
7,선박류,202502,338162243.0,0.338162243,1227.6940593230627,,,5
7,선박류,202503,251778744.0,0.251778744,-25.544986404647197,,,7
7,선박류,202504,174993768.0,0.174993768,-30.497004941767447,,,7
7,선박류,202505,257406017.0,0.257406017,47.09439081282025,,,4
7,선박류,202506,303243197.0,0.303243197,17.807345972025203,,,8
7,선박류,202507,61492374.0,0.061492374,-79.72176305739185,,,7
7,선박류,202508,742379885.0,0.742379885,1107.2714658894126,,,5
7,선박류,202509,255697055.0,0.255697055,-65.55711433372147,,,6
7,선박류,202510,4441353.0,0.004441353,-98.26304100373781,,,5
7,선박류,202511,26221560.0,0.02622156,490.39576453391567,,,5
7,선박류,202512,484681760.0,0.48468176,1748.4093242354763,,,7
7,선박류,202601,99663317.0,0.099663317,-79.43736999717092,291.2985457496247,,6
7,선박류,202602,2773821.0,0.002773821,-97.21680846725181,-99.17973663310484,,5
7,선박류,202603,6092757.0,0.006092757,119.6521332847361,-97.58011462635623,-82.36464471080629,5
7,선박류,202604,523029611.0,0.523029611,8484.448895631322,198.88470713997083,-30.465155946535592,5
7,선박류,202605,3705895.0,0.003705895,-99.29145598603594,-98.56029200747084,-22.121458009098095,4
7,선박류,202606,18818068.0,0.018818068,407.7874035826703,-93.79439730679267,-25.839899604996162,6
7,선박류,202607,131689362.0,0.131689362,599.8027746525307,114.15559919673943,-75.21250339560967,5
7,선박류,202608,8766751.0,0.008766751,-93.34285559071962,-98.81910175947183,-85.61358888661384,5
10,무선통신기기,202501,934268.0,0.000934268,,,,9
10,무선통신기기,202502,302246.0,0.000302246,-67.64889731854244,,,10
10,무선통신기기,202503,1719878.0,0.001719878,469.03250994223254,,,10
10,무선통신기기,202504,1198405.0,0.001198405,-30.320348303775035,,,8
10,무선통신기기,202505,3096502.0,0.003096502,158.38527042193581,,,9
10,무선통신기기,202506,144257.0,0.000144257,-95.34129156060614,,,8
10,무선통신기기,202507,127285.0,0.000127285,-11.765113651330616,,,10
10,무선통신기기,202508,338525.0,0.000338525,165.95828259417843,,,8
10,무선통신기기,202509,661255.0,0.000661255,95.33417029761466,,,9
10,무선통신기기,202510,536955.0,0.000536955,-18.79758943221601,,,9
10,무선통신기기,202511,682729.0,0.000682729,27.1482712704044,,,9
10,무선통신기기,202512,2115984.0,0.002115984,209.93029445065318,,,9
10,무선통신기기,202601,308151.0,0.000308151,-85.43698818138512,-67.01685169565906,,9
