신성질코드,신성질품목명,산업20,소분류코드,공식소분류명
22030501,(재생·반합성단섬유 직물),섬유류,22030000,3)섬유직물
22030601,(편직물),섬유류,22030000,3)섬유직물
22039001,(기타 직물),섬유류,22030000,3)섬유직물
22900101,(기타 섬유제품(의류 제외)),섬유류,22900000,4)기타 섬유제품(의류 제외)
32030101,(증기터빈),일반기계,32030000,3)일반기계
32030102,(수력터빈),일반기계,32030000,3)일반기계
32030103,(불꽃 점화식 내연기관),일반기계,32030000,3)일반기계
32030104,(압축 점화식 내연기관),일반기계,32030000,3)일반기계
32030105,(터보제트),일반기계,32030000,3)일반기계
32030106,(내연기관 및 터빈의 부품),일반기계,32030000,3)일반기계
32030190,(기타 내연기관 및 터빈),일반기계,32030000,3)일반기계
32030201,(액체펌프),일반기계,32030000,3)일반기계
32030202,(기체펌프),일반기계,32030000,3)일반기계
32030203,(펌프 부품),일반기계,32030000,3)일반기계
32030301,(운반하역기계),일반기계,32030000,3)일반기계
32030302,(운반하역기계 부품),일반기계,32030000,3)일반기계
32030401,(냉방기),일반기계,32030000,3)일반기계
32030402,(가열기구),일반기계,32030000,3)일반기계
32030403,(증기발생 보일러),일반기계,32030000,3)일반기계
32030404,(온수 보일러),일반기계,32030000,3)일반기계
32030405,(공기조절기),일반기계,32030000,3)일반기계
32030406,(냉난방기계 부품),일반기계,32030000,3)일반기계
32030501,(액체 및 기체 여과기계),일반기계,32030000,3)일반기계
32030502,(액체 및 기체 여과기계 부품),일반기계,32030000,3)일반기계
32030601,(경작기계),일반기계,32030000,3)일반기계
32030602,(수확·탈곡기계),일반기계,32030000,3)일반기계
32030603,(낙농기계),일반기계,32030000,3)일반기계
32030604,(농기계 부품),일반기계,32030000,3)일반기계
32030690,(기타 농기계),일반기계,32030000,3)일반기계
32030701,(금속절삭가공기계),일반기계,32030000,3)일반기계
32030702,(금속성형가공기계),일반기계,32030000,3)일반기계
32030703,(광물가공기계),일반기계,32030000,3)일반기계
32030704,(목재가공기계),일반기계,32030000,3)일반기계
32030705,(유리가공기계),일반기계,32030000,3)일반기계
32030706,(가공공작기계 부품),일반기계,32030000,3)일반기계
32030801,(불도우저),일반기계,32030000,3)일반기계
32030802,(지게차),일반기계,32030000,3)일반기계
32030803,(기타 건설 중장비),일반기계,32030000,3)일반기계
32030804,(건설기계 부품),일반기계,32030000,3)일반기계
32030901,(광산기계),일반기계,32030000,3)일반기계
32030902,(광산기계 부품),일반기계,32030000,3)일반기계
32031001,(섬유기계),일반기계,32030000,3)일반기계
32031002,(피혁가공기계),일반기계,32030000,3)일반기계
32031003,(재봉기),일반기계,32030000,3)일반기계
32031004,(섬유 및 피혁가공기계 부품),일반기계,32030000,3)일반기계
32031101,(화학기계),일반기계,32030000,3)일반기계
32031102,(화학기계 부품),일반기계,32030000,3)일반기계
32031201,(고무·플라스틱 가공기계),일반기계,32030000,3)일반기계
32031202,(고무·플라스틱 가공기계 부품),일반기계,32030000,3)일반기계
32031301,(제지기계),일반기계,32030000,3)일반기계
32031302,(제본기계),일반기계,32030000,3)일반기계
32031303,(지가공기계),일반기계,32030000,3)일반기계
32031304,(인쇄기계),일반기계,32030000,3)일반기계
32031305,(인쇄·제본기계 부품),일반기계,32030000,3)일반기계
32031401,(복사기),일반기계,32030000,3)일반기계
32031402,(복사기 부품),일반기계,32030000,3)일반기계
32031501,(프레스 금형),일반기계,32030000,3)일반기계
32031502,(다이캐스팅 금형),일반기계,32030000,3)일반기계
32031503,(플라스틱 금형),일반기계,32030000,3)일반기계
32031504,(기타 금형),일반기계,32030000,3)일반기계
32031601,(압연기),일반기계,32030000,3)일반기계
32031602,(압연기 부품),일반기계,32030000,3)일반기계
32031701,(용접기),일반기계,32030000,3)일반기계
