MTI코드,코드길이,품목명,행,코드열,품목명열
514150,6,6단위,1472,1,2
514160,6,6단위,1473,1,2
514170,6,6단위,1474,1,2
514190,6,6단위,1475,1,2
5142,4,4단위,539,1,2
514210,6,6단위,1476,1,2
514220,6,6단위,1477,1,2
514290,6,6단위,1478,1,2
515,3,3단위,160,1,2
5151,4,4단위,540,1,2
515110,6,6단위,1479,1,2
515120,6,6단위,1480,1,2
515130,6,6단위,1481,1,2
515190,6,6단위,1482,1,2
5152,4,4단위,541,1,2
515210,6,6단위,1483,1,2
515220,6,6단위,1484,1,2
515230,6,6단위,1485,1,2
515240,6,6단위,1486,1,2
515250,6,6단위,1487,1,2
515290,6,6단위,1488,1,2
516,3,3단위,161,1,2
