MTI코드,코드길이,품목명,행,코드열,품목명열
042210,6,6단위,1088,1,2
042290,6,6단위,1089,1,2
0423,4,4단위,344,1,2
042300,6,6단위,1090,1,2
0429,4,4단위,345,1,2
042900,6,6단위,1091,1,2
043,3,3단위,77,1,2
0431,4,4단위,346,1,2
043100,6,6단위,1092,1,2
0432,4,4단위,347,1,2
043200,6,6단위,1093,1,2
0433,4,4단위,348,1,2
043300,6,6단위,1094,1,2
0434,4,4단위,349,1,2
043400,6,6단위,1095,1,2
0435,4,4단위,350,1,2
043510,6,6단위,1096,1,2
043590,6,6단위,1097,1,2
0439,4,4단위,351,1,2
043900,6,6단위,1098,1,2
044,3,3단위,78,1,2
0441,4,4단위,352,1,2
044100,6,6단위,1099,1,2
0442,4,4단위,353,1,2
044200,6,6단위,1100,1,2
0443,4,4단위,354,1,2
044300,6,6단위,1101,1,2
0444,4,4단위,355,1,2
044400,6,6단위,1102,1,2
0449,4,4단위,356,1,2
044900,6,6단위,1103,1,2
045,3,3단위,79,1,2
0451,4,4단위,357,1,2
045100,6,6단위,1104,1,2
0452,4,4단위,358,1,2
045210,6,6단위,1105,1,2
045290,6,6단위,1106,1,2
046,3,3단위,80,1,2
0461,4,4단위,359,1,2
046110,6,6단위,1107,1,2
046190,6,6단위,1108,1,2
0462,4,4단위,360,1,2
046210,6,6단위,1109,1,2
046220,6,6단위,1110,1,2
046290,6,6단위,1111,1,2
0463,4,4단위,361,1,2
046300,6,6단위,1112,1,2
0469,4,4단위,362,1,2
046900,6,6단위,1113,1,2
047,3,3단위,81,1,2
0470,4,4단위,363,1,2
047000,6,6단위,1114,1,2
049,3,3단위,82,1,2
0490,4,4단위,364,1,2
049010,6,6단위,1115,1,2
049090,6,6단위,1116,1,2
1,1,1단위,2,1,2
11,2,2단위,15,1,2
111,3,3단위,83,1,2
1111,4,4단위,365,1,2
111100,6,6단위,1117,1,2
1112,4,4단위,366,1,2
111200,6,6단위,1118,1,2
1113,4,4단위,367,1,2
111300,6,6단위,1119,1,2
112,3,3단위,84,1,2
1120,4,4단위,368,1,2
112000,6,6단위,1120,1,2
113,3,3단위,85,1,2
1130,4,4단위,369,1,2
113000,6,6단위,1121,1,2
114,3,3단위,86,1,2
1140,4,4단위,370,1,2
114000,6,6단위,1122,1,2
115,3,3단위,87,1,2
1150,4,4단위,371,1,2
115000,6,6단위,1123,1,2
116,3,3단위,88,1,2
1160,4,4단위,372,1,2
116000,6,6단위,1124,1,2
117,3,3단위,89,1,2
1170,4,4단위,373,1,2
117000,6,6단위,1125,1,2
119,3,3단위,90,1,2
1190,4,4단위,374,1,2
119010,6,6단위,1126,1,2
119090,6,6단위,1127,1,2
12,2,2단위,16,1,2
121,3,3단위,91,1,2
1210,4,4단위,375,1,2
121000,6,6단위,1128,1,2
122,3,3단위,92,1,2
1220,4,4단위,376,1,2
122000,6,6단위,1129,1,2
123,3,3단위,93,1,2
1230,4,4단위,377,1,2
123000,6,6단위,1130,1,2
124,3,3단위,94,1,2
1240,4,4단위,378,1,2
124000,6,6단위,1131,1,2
129,3,3단위,95,1,2
1290,4,4단위,379,1,2
129000,6,6단위,1132,1,2
13,2,2단위,17,1,2
131,3,3단위,96,1,2
1310,4,4단위,380,1,2
131000,6,6단위,1133,1,2
132,3,3단위,97,1,2
1321,4,4단위,381,1,2
132100,6,6단위,1134,1,2
