MTI6코드,품목명,원본파일,원본행
015320,홍차,KITA_MTI6_09.xls,70
015410,잎담배,KITA_MTI6_06.xls,103
015420,제조담배,KITA_MTI6_02.xls,62
015510,수삼,KITA_MTI6_10.xls,87
015520,백삼,KITA_MTI6_09.xls,49
015530,홍삼,KITA_MTI6_05..xls,26
015590,인삼의 기타 부분,KITA_MTI6_11.xls,17
015600,식물성한약재,KITA_MTI6_10.xls,11
015710,소주,KITA_MTI6_05..xls,55
015720,맥주,KITA_MTI6_05..xls,50
015730,인삼주,KITA_MTI6_12.xls,57
015740,포도주,KITA_MTI6_11.xls,95
015750,위스키,KITA_MTI6_10.xls,99
015760,브랜디,KITA_MTI6_12.xls,22
015790,기타주류,KITA_MTI6_04.xls,70
015810,원당,KITA_MTI6_12.xls,29
015820,정당,KITA_MTI6_05..xls,17
015830,당밀,KITA_MTI6_12.xls,66
015890,기타당류,KITA_MTI6_06.xls,20
015910,물,KITA_MTI6_04.xls,62
015920,음료베이스,KITA_MTI6_06.xls,43
015930,인삼음료,KITA_MTI6_06.xls,21
015940,과일주스,KITA_MTI6_04.xls,82
015990,기타음료,KITA_MTI6_03.xls,20
016110,검,KITA_MTI6_09.xls,48
016120,사탕,KITA_MTI6_05..xls,27
016130,비스킷,KITA_MTI6_04.xls,68
016200,곡류가공품,KITA_MTI6_04.xls,46
016300,빵,KITA_MTI6_03.xls,91
016400,면류,KITA_MTI6_01.xls,65
016500,빙과류,KITA_MTI6_04.xls,97
016900,기타농산가공품,KITA_MTI6_02.xls,93
017000,종자류,KITA_MTI6_06.xls,34
019000,기타농산물,KITA_MTI6_13.xls,35
021110,소,KITA_MTI6_13.xls,41
021120,돼지,KITA_MTI6_13.xls,83
021130,말,KITA_MTI6_10.xls,70
021190,기타가축,KITA_MTI6_09.xls,85
021210,닭,KITA_MTI6_12.xls,87
021220,오리,KITA_MTI6_13.xls,84
021900,기타산동물,KITA_MTI6_10.xls,40
022110,쇠고기,KITA_MTI6_09.xls,32
022120,돼지고기,KITA_MTI6_06.xls,71
022130,양고기,KITA_MTI6_13.xls,30
022190,기타가축육류,KITA_MTI6_13.xls,58
022210,닭고기,KITA_MTI6_05..xls,44
022220,오리고기,KITA_MTI6_13.xls,6
022230,칠면조고기,KITA_MTI6_13.xls,33
022290,기타가금육류,KITA_MTI6_09.xls,33
022910,식용곤충,KITA_MTI6_13.xls,22
022990,기타육류,KITA_MTI6_12.xls,92
023110,우지,KITA_MTI6_08.xls,46
023120,돈지,KITA_MTI6_13.xls,85
023190,기타동물성유지,KITA_MTI6_10.xls,49
023210,상아,KITA_MTI6_13.xls,75
023290,기타동물뼈,KITA_MTI6_13.xls,86
023310,녹용,KITA_MTI6_10.xls,95
023320,웅담,KITA_MTI6_13.xls,34
023390,기타동물성한약재,KITA_MTI6_09.xls,50
023900,기타축산물부산물,KITA_MTI6_07.xls,94
024110,소시지,KITA_MTI6_08.xls,76
024190,기타육류가공품,KITA_MTI6_09.xls,27
024210,꿀,KITA_MTI6_12.xls,58
024220,로얄제리,KITA_MTI6_02.xls,52
024310,우유,KITA_MTI6_09.xls,64
024320,분유,KITA_MTI6_05..xls,94
024330,버터,KITA_MTI6_12.xls,52
024340,치이즈,KITA_MTI6_08.xls,48
024350,발효유,KITA_MTI6_11.xls,98
024390,기타낙농품,KITA_MTI6_06.xls,17
024400,난류,KITA_MTI6_10.xls,21
024500,단백질류,KITA_MTI6_05..xls,88
025000,모류,KITA_MTI6_06.xls,33
031100,원목,KITA_MTI6_12.xls,38
031200,제재목,KITA_MTI6_09.xls,42
031310,합판,KITA_MTI6_09.xls,84
031320,단판적층재(LVL),KITA_MTI6_13.xls,32
031400,단판,KITA_MTI6_10.xls,28
031500,섬유판,KITA_MTI6_08.xls,65
031600,파티클보드,KITA_MTI6_11.xls,83
031710,구조용공학목재,KITA_MTI6_13.xls,26
031790,기타건축용목제품,KITA_MTI6_10.xls,15
031810,목재틀,KITA_MTI6_11.xls,14
031820,젓가락,KITA_MTI6_12.xls,42
031830,목제식탁용품,KITA_MTI6_10.xls,78
031840,목제장식품상자,KITA_MTI6_10.xls,58
031890,기타목재생활용품,KITA_MTI6_11.xls,47
031900,기타목재류,KITA_MTI6_06.xls,63
032100,수목류,KITA_MTI6_11.xls,69
032200,종자류,KITA_MTI6_12.xls,47
033100,코르크,KITA_MTI6_11.xls,99
033200,천연고무,KITA_MTI6_07.xls,65
033900,기타임산부산물,KITA_MTI6_07.xls,30
041100,참치,KITA_MTI6_04.xls,12
041200,조기,KITA_MTI6_11.xls,45
041300,갈치,KITA_MTI6_09.xls,18
041400,명태,KITA_MTI6_07.xls,8
041500,넙치,KITA_MTI6_06.xls,62
041600,가자미,KITA_MTI6_12.xls,102
041700,대구,KITA_MTI6_06.xls,30
041800,뱀장어,KITA_MTI6_11.xls,59
041900,기타어류,KITA_MTI6_02.xls,80
042100,새우,KITA_MTI6_09.xls,104
042210,꽃게,KITA_MTI6_08.xls,35
042290,기타게,KITA_MTI6_04.xls,44
042300,바다가재,KITA_MTI6_12.xls,91
042900,기타갑각류,KITA_MTI6_10.xls,101
043100,오징어,KITA_MTI6_05..xls,61
043200,문어,KITA_MTI6_09.xls,68
043300,낙지,KITA_MTI6_11.xls,79
043400,굴,KITA_MTI6_06.xls,22
043510,피조개,KITA_MTI6_08.xls,89
043590,기타조개,KITA_MTI6_06.xls,12
043900,기타연체동물,KITA_MTI6_06.xls,93
044100,김,KITA_MTI6_03.xls,10
044200,톳,KITA_MTI6_08.xls,36
044300,미역,KITA_MTI6_06.xls,53
044400,한천,KITA_MTI6_09.xls,7
044900,기타해조류,KITA_MTI6_08.xls,83
045100,어육,KITA_MTI6_03.xls,51
045210,명란,KITA_MTI6_07.xls,79
045290,기타어란,KITA_MTI6_09.xls,86
046110,어류통조림,KITA_MTI6_07.xls,23
046190,기타수산물통조림,KITA_MTI6_07.xls,31
046210,새우젓,KITA_MTI6_10.xls,82
046220,염장어란,KITA_MTI6_12.xls,6
046290,기타염장수산물,KITA_MTI6_12.xls,14
046300,건조수산물,KITA_MTI6_08.xls,101
046900,기타수산가공품,KITA_MTI6_02.xls,27
047000,수산부산물,KITA_MTI6_08.xls,29
049010,"고운 가루, 거친 가루와 펠릿",KITA_MTI6_13.xls,44
049090,기타수산물,KITA_MTI6_08.xls,30
111100,금,KITA_MTI6_01.xls,33
111200,은,KITA_MTI6_01.xls,40
111300,백금,KITA_MTI6_02.xls,63
112000,철광,KITA_MTI6_08.xls,25
113000,동광,KITA_MTI6_03.xls,67
114000,알루미늄광,KITA_MTI6_12.xls,17
115000,주석광,KITA_MTI6_12.xls,59
116000,아연광,KITA_MTI6_06.xls,87
117000,니켈광,KITA_MTI6_11.xls,87
119010,"슬래그, 회(灰)와 잔재물",KITA_MTI6_13.xls,38
119090,기타금속광물,KITA_MTI6_02.xls,46
121000,흑연,KITA_MTI6_10.xls,46
122000,소금,KITA_MTI6_08.xls,17
123000,고령토,KITA_MTI6_10.xls,37
124000,석회석,KITA_MTI6_09.xls,71
129000,기타비금속광물,KITA_MTI6_02.xls,98
131000,원유,KITA_MTI6_13.xls,63
132100,무연탄,KITA_MTI6_12.xls,72
132200,유연탄,KITA_MTI6_13.xls,87
132300,갈탄,KITA_MTI6_13.xls,88
132400,토탄,KITA_MTI6_12.xls,74
132900,기타석탄,KITA_MTI6_11.xls,43
133110,항공휘발유,KITA_MTI6_06.xls,79
133120,자동차휘발유,KITA_MTI6_01.xls,18
133200,경유,KITA_MTI6_01.xls,12
133310,제트유,KITA_MTI6_01.xls,20
133320,등유,KITA_MTI6_03.xls,7
133400,나프타,KITA_MTI6_01.xls,62
133510,벙커-A유,KITA_MTI6_09.xls,53
133520,벙커-B유,KITA_MTI6_13.xls,89
133530,벙커-C유,KITA_MTI6_02.xls,81
133590,기타중유,KITA_MTI6_08.xls,41
133600,윤활유,KITA_MTI6_01.xls,26
133900,기타석유제품,KITA_MTI6_01.xls,95
134010,LNG(액상천연가스),KITA_MTI6_08.xls,19
134020,PNG(배관천연가스),KITA_MTI6_13.xls,74
135010,프로판,KITA_MTI6_06.xls,23
135020,부탄,KITA_MTI6_04.xls,51
136000,우라늄,KITA_MTI6_03.xls,48
190000,기타광산물,KITA_MTI6_11.xls,62
211010,에틸렌,KITA_MTI6_01.xls,85
