산업,공식상위MTI,공식상위품목명,MTI6코드,MTI6품목명
석유화학,21,석유화학제품,214004,폴리프로필렌
석유화학,21,석유화학제품,214005,폴리스티렌
석유화학,21,석유화학제품,214006,ABS수지
석유화학,21,석유화학제품,214007,염화비닐수지
석유화학,21,석유화학제품,214008,폴리메타아크릴산메틸
석유화학,21,석유화학제품,214009,폴리페닐렌옥사이드
석유화학,21,석유화학제품,214010,실리콘수지
석유화학,21,석유화학제품,214011,아세탈수지
석유화학,21,석유화학제품,214012,에폭시수지
석유화학,21,석유화학제품,214013,폴리카보네이트
석유화학,21,석유화학제품,214014,폴리에스테르수지
석유화학,21,석유화학제품,214015,폴리아미드수지
석유화학,21,석유화학제품,214090,기타합성수지
석유화학,21,석유화학제품,215010,SNR-L(스티렌 변성 천연 고무-L)
석유화학,21,석유화학제품,215020,SBR(스티렌부타디엔 고무)
석유화학,21,석유화학제품,215030,폴리부타디엔고무
석유화학,21,석유화학제품,215040,부틸고무
석유화학,21,석유화학제품,215050,클로로프렌고무
석유화학,21,석유화학제품,215060,아크릴로니트닐부타디엔
석유화학,21,석유화학제품,215070,에틸렌프로필렌고무
석유화학,21,석유화학제품,215090,기타합성고무
석유화학,21,석유화학제품,219000,기타석유화학제품
철강,6,철강금속제품,611110,철및비합금강H형강
철강,6,철강금속제품,611120,철및비합금강L형강
철강,6,철강금속제품,611130,철및비합금강U형강
철강,6,철강금속제품,611190,철및비합금강기타형강
철강,6,철강금속제품,611200,스테인레스및합금강형강
철강,6,철강금속제품,612110,철및비합금강선재
철강,6,철강금속제품,612120,스테인레스및합금강선재
철강,6,철강금속제품,612210,철및비합금강봉강
철강,6,철강금속제품,612220,스테인레스및합금강봉강
철강,6,철강금속제품,612300,철근
철강,6,철강금속제품,613110,철및비합금강중후판
철강,6,철강금속제품,613120,스테인레스강중후판
철강,6,철강금속제품,613130,합금강중후판
철강,6,철강금속제품,613210,철및비합금강열연강판
철강,6,철강금속제품,613220,스테인레스강열연강판
철강,6,철강금속제품,613230,합금강열연강판
철강,6,철강금속제품,613310,철및비합금강냉연강판
철강,6,철강금속제품,613320,스테인레스강냉연강판
철강,6,철강금속제품,613330,합금강냉연강판
철강,6,철강금속제품,613410,용융아연도강판
철강,6,철강금속제품,613420,전기아연도강판
철강,6,철강금속제품,613430,착색아연도강판
철강,6,철강금속제품,613500,전기강판
철강,6,철강금속제품,613600,석도강판
철강,6,철강금속제품,613700,도금강판
철강,6,철강금속제품,614110,철및비합금강용접강관(대)
철강,6,철강금속제품,614120,철및비합금강용접강관(중소)
철강,6,철강금속제품,614130,무계목강관
철강,6,철강금속제품,614140,스테인레스강강관
철강,6,철강금속제품,614150,합금강강관
철강,6,철강금속제품,614210,철및비합금강강선
철강,6,철강금속제품,614220,스테인레스강강선
철강,6,철강금속제품,614230,합금강강선
철강,6,철강금속제품,615110,레일
철강,6,철강금속제품,615120,레일부속품
철강,6,철강금속제품,617110,주강
철강,6,철강금속제품,617120,단강
철강,6,철강금속제품,619110,블룸
철강,6,철강금속제품,619120,빌레트
철강,6,철강금속제품,619130,슬랩
철강,6,철강금속제품,619140,쉬트바
철강,6,철강금속제품,619190,기타강반제품
철강,6,철강금속제품,619200,기타철강제품
철강,6,철강금속제품,621110,알루미늄괴
철강,6,철강금속제품,621120,알루미늄스크랩
철강,6,철강금속제품,621210,알루미늄분
철강,6,철강금속제품,621220,알루미늄봉
철강,6,철강금속제품,621230,알루미늄선
철강,6,철강금속제품,621240,알루미늄판
철강,6,철강금속제품,621250,알루미늄박
철강,6,철강금속제품,621260,알루미늄관
철강,6,철강금속제품,621270,알루니늄관연결구류
