순위,산업20,기준월,수출액_USD,수출액_십억달러,YoY_%,MoM_%,3M_YoY_%,Momentum_Gap_pp,HSK10_활성수,MTI6_활성수
1,반도체,2026-07-01,41006096710.0,41.00609671,178.8202619414351,-8.494270920528091,182.56630447853954,-3.7460425371044437,57,14
2,자동차,2026-07-01,6237951936.0,6.237951936,7.000234698195218,-6.938662619113966,2.215991599797562,4.784243098397656,97,21
3,석유제품,2026-07-01,5757297704.0,5.757297704,35.96010704381798,6.903804470595709,41.82282315929152,-5.862716115473539,91,12
4,컴퓨터,2026-07-01,4789780598.0,4.789780598,404.16712829281363,-11.43372151277957,334.1940101528116,69.97311814000204,76,21
5,일반기계,2026-07-01,4526786786.0,4.526786786,5.8852749284675765,11.00370875611205,2.3556797424711955,3.529595185996381,1069,122
6,석유화학,2026-07-01,4154219833.0,4.154219833,10.227816227677078,3.7992479467308993,12.89771770828537,-2.669901480608292,275,46
7,선박류,2026-07-01,3292014387.0,3.292014387,46.909575545483584,16.5236236300347,25.358570198019038,21.551005347464546,44,11
8,철강제품,2026-07-01,2360962622.0,2.360962622,4.350026709609955,10.63133203486486,3.552201936584325,0.7978247730256305,320,43
9,자동차부품,2026-07-01,1950923767.0,1.950923767,2.197509314490942,11.977179564147256,-2.143635847979423,4.341145162470365,61,3
10,무선통신기기,2026-07-01,1812587375.0,1.812587375,51.062547574282945,17.380462559280453,38.38494221451332,12.677605359769622,60,16
11,전기기기,2026-07-01,1794485744.0,1.794485744,13.939833108368793,8.507293407563354,6.021270199385721,7.9185629089830725,235,63
12,비철금속,2026-07-01,1728464428.0,1.728464428,23.958125608658754,-5.386302103600005,37.706866491867146,-13.748740883208391,277,68
13,디스플레이,2026-07-01,1609958968.0,1.609958968,2.388768983002243,4.515965360817664,16.24018515079709,-13.851416167794845,40,3
14,바이오헬스,2026-07-01,1573830833.0,1.573830833,30.415160583236258,-17.727043623975835,16.432411911714585,13.982748671521673,522,11
15,화장품,2026-07-01,1351011744.0,1.351011744,37.812235859733455,1.6187690073114824,34.10623479883707,3.7060010608963836,34,8
16,농수산식품,2026-07-01,1092432668.0,1.092432668,2.287669953889382,-6.630644369551819,7.8610387344072,-5.573368780517818,1787,255
17,섬유류,2026-07-01,932499958.0,0.932499958,3.499864560015631,-3.672399196652776,2.7199327919280223,0.7799317680876086,1218,142
18,생활용품,2026-07-01,809546555.0,0.809546555,12.937663996512994,11.601400000200446,1.094470088194047,11.843193908318947,580,102
19,이차전지,2026-07-01,682899603.0,0.682899603,17.166526226315515,-2.154092166620414,21.922348981992375,-4.75582275567686,10,4
20,가전,2026-07-01,610412592.0,0.610412592,-4.13656902592372,10.215552545354377,-8.630726203347713,4.494157177423993,178,46
